areaCode,areaName,areaType,date,newReinfectionsBySpecimenDate
E12000002,North West,region,2021-07-12,96
E12000002,North West,region,2021-07-11,39
E12000002,North West,region,2021-07-10,55
E12000002,North West,region,2021-07-09,57
E12000002,North West,region,2021-07-08,49
E12000002,North West,region,2021-07-07,87
E12000002,North West,region,2021-07-06,61
E12000002,North West,region,2021-07-05,70
E12000002,North West,region,2021-07-04,39
E12000002,North West,region,2021-07-03,46
E12000002,North West,region,2021-07-02,60
E12000002,North West,region,2021-07-01,86
E12000002,North West,region,2021-06-30,69
E12000002,North West,region,2021-06-29,73
E12000002,North West,region,2021-06-28,96
E12000002,North West,region,2021-06-27,61
E12000002,North West,region,2021-06-26,39
E12000002,North West,region,2021-06-25,58
E12000002,North West,region,2021-06-24,62
E12000002,North West,region,2021-06-23,68
E12000002,North West,region,2021-06-22,57
E12000002,North West,region,2021-06-21,41
E12000002,North West,region,2021-06-20,33
E12000002,North West,region,2021-06-19,40
E12000002,North West,region,2021-06-18,46
E12000002,North West,region,2021-06-17,52
E12000002,North West,region,2021-06-16,37
E12000002,North West,region,2021-06-15,49
E12000002,North West,region,2021-06-14,39
E12000002,North West,region,2021-06-13,17
E12000002,North West,region,2021-06-12,26
E12000002,North West,region,2021-06-11,38
E12000002,North West,region,2021-06-10,28
E12000002,North West,region,2021-06-09,30
E12000002,North West,region,2021-06-08,38
E12000002,North West,region,2021-06-07,39
E12000002,North West,region,2021-06-06,23
E12000002,North West,region,2021-06-05,18
E12000002,North West,region,2021-06-04,28
E12000002,North West,region,2021-06-03,30
E12000002,North West,region,2021-06-02,13
E12000002,North West,region,2021-06-01,38
E12000002,North West,region,2021-05-31,21
E12000002,North West,region,2021-05-30,9
E12000002,North West,region,2021-05-29,12
E12000002,North West,region,2021-05-28,16
E12000002,North West,region,2021-05-27,15
E12000002,North West,region,2021-05-26,17
E12000002,North West,region,2021-05-25,15
E12000002,North West,region,2021-05-24,24
E12000002,North West,region,2021-05-23,14
E12000002,North West,region,2021-05-22,8
E12000002,North West,region,2021-05-21,7
E12000002,North West,region,2021-05-20,14
E12000002,North West,region,2021-05-19,15
E12000002,North West,region,2021-05-18,19
E12000002,North West,region,2021-05-17,13
E12000002,North West,region,2021-05-16,9
E12000002,North West,region,2021-05-15,4
E12000002,North West,region,2021-05-14,9
E12000002,North West,region,2021-05-13,7
E12000002,North West,region,2021-05-12,10
E12000002,North West,region,2021-05-11,14
E12000002,North West,region,2021-05-10,10
E12000002,North West,region,2021-05-09,5
E12000002,North West,region,2021-05-08,7
E12000002,North West,region,2021-05-07,9
E12000002,North West,region,2021-05-06,13
E12000002,North West,region,2021-05-05,14
E12000002,North West,region,2021-05-04,10
E12000002,North West,region,2021-05-03,9
E12000002,North West,region,2021-05-02,5
E12000002,North West,region,2021-05-01,6
E12000002,North West,region,2021-04-30,10
E12000002,North West,region,2021-04-29,12
E12000002,North West,region,2021-04-28,14
E12000002,North West,region,2021-04-27,13
E12000002,North West,region,2021-04-26,13
E12000002,North West,region,2021-04-25,10
E12000002,North West,region,2021-04-24,5
E12000002,North West,region,2021-04-23,9
E12000002,North West,region,2021-04-22,7
E12000002,North West,region,2021-04-21,7
E12000002,North West,region,2021-04-20,14
E12000002,North West,region,2021-04-19,10
E12000002,North West,region,2021-04-18,8
E12000002,North West,region,2021-04-17,7
E12000002,North West,region,2021-04-16,9
E12000002,North West,region,2021-04-15,5
E12000002,North West,region,2021-04-14,5
E12000002,North West,region,2021-04-13,10
E12000002,North West,region,2021-04-12,14
E12000002,North West,region,2021-04-11,5
E12000002,North West,region,2021-04-10,6
E12000002,North West,region,2021-04-09,5
E12000002,North West,region,2021-04-08,10
E12000002,North West,region,2021-04-07,6
E12000002,North West,region,2021-04-06,8
E12000002,North West,region,2021-04-05,5
E12000002,North West,region,2021-04-04,6
E12000002,North West,region,2021-04-03,2
E12000002,North West,region,2021-04-02,5
E12000002,North West,region,2021-04-01,3
E12000002,North West,region,2021-03-31,6
E12000002,North West,region,2021-03-30,6
E12000002,North West,region,2021-03-29,7
E12000002,North West,region,2021-03-28,9
E12000002,North West,region,2021-03-27,6
E12000002,North West,region,2021-03-26,10
E12000002,North West,region,2021-03-25,7
E12000002,North West,region,2021-03-24,10
E12000002,North West,region,2021-03-23,16
E12000002,North West,region,2021-03-22,8
E12000002,North West,region,2021-03-21,8
E12000002,North West,region,2021-03-20,3
E12000002,North West,region,2021-03-19,9
E12000002,North West,region,2021-03-18,3
E12000002,North West,region,2021-03-17,20
E12000002,North West,region,2021-03-16,8
E12000002,North West,region,2021-03-15,12
E12000002,North West,region,2021-03-14,5
E12000002,North West,region,2021-03-13,4
E12000002,North West,region,2021-03-12,4
E12000002,North West,region,2021-03-11,7
E12000002,North West,region,2021-03-10,15
E12000002,North West,region,2021-03-09,16
E12000002,North West,region,2021-03-08,24
E12000002,North West,region,2021-03-07,5
E12000002,North West,region,2021-03-06,4
E12000002,North West,region,2021-03-05,10
E12000002,North West,region,2021-03-04,5
E12000002,North West,region,2021-03-03,15
E12000002,North West,region,2021-03-02,26
E12000002,North West,region,2021-03-01,25
E12000002,North West,region,2021-02-28,7
E12000002,North West,region,2021-02-27,4
E12000002,North West,region,2021-02-26,8
E12000002,North West,region,2021-02-25,34
E12000002,North West,region,2021-02-24,23
E12000002,North West,region,2021-02-23,25
E12000002,North West,region,2021-02-22,47
E12000002,North West,region,2021-02-21,8
E12000002,North West,region,2021-02-20,9
E12000002,North West,region,2021-02-19,25
E12000002,North West,region,2021-02-18,19
E12000002,North West,region,2021-02-17,25
E12000002,North West,region,2021-02-16,32
E12000002,North West,region,2021-02-15,45
E12000002,North West,region,2021-02-14,7
E12000002,North West,region,2021-02-13,7
E12000002,North West,region,2021-02-12,22
E12000002,North West,region,2021-02-11,15
E12000002,North West,region,2021-02-10,20
E12000002,North West,region,2021-02-09,22
E12000002,North West,region,2021-02-08,23
E12000002,North West,region,2021-02-07,7
E12000002,North West,region,2021-02-06,6
E12000002,North West,region,2021-02-05,15
E12000002,North West,region,2021-02-04,25
E12000002,North West,region,2021-02-03,13
E12000002,North West,region,2021-02-02,19
E12000002,North West,region,2021-02-01,18
E12000002,North West,region,2021-01-31,7
E12000002,North West,region,2021-01-30,13
E12000002,North West,region,2021-01-29,18
E12000002,North West,region,2021-01-28,19
E12000002,North West,region,2021-01-27,24
E12000002,North West,region,2021-01-26,29
E12000002,North West,region,2021-01-25,26
E12000002,North West,region,2021-01-24,10
E12000002,North West,region,2021-01-23,9
E12000002,North West,region,2021-01-22,13
E12000002,North West,region,2021-01-21,23
E12000002,North West,region,2021-01-20,34
E12000002,North West,region,2021-01-19,42
E12000002,North West,region,2021-01-18,35
E12000002,North West,region,2021-01-17,11
E12000002,North West,region,2021-01-16,15
E12000002,North West,region,2021-01-15,25
E12000002,North West,region,2021-01-14,22
E12000002,North West,region,2021-01-13,16
E12000002,North West,region,2021-01-12,41
E12000002,North West,region,2021-01-11,29
E12000002,North West,region,2021-01-10,13
E12000002,North West,region,2021-01-09,15
E12000002,North West,region,2021-01-08,19
E12000002,North West,region,2021-01-07,28
E12000002,North West,region,2021-01-06,27
E12000002,North West,region,2021-01-05,25
E12000002,North West,region,2021-01-04,21
E12000002,North West,region,2021-01-03,15
E12000002,North West,region,2021-01-02,7
E12000002,North West,region,2021-01-01,4
E12000002,North West,region,2020-12-31,10
E12000002,North West,region,2020-12-30,18
E12000002,North West,region,2020-12-29,13
E12000002,North West,region,2020-12-28,10
E12000002,North West,region,2020-12-27,5
E12000002,North West,region,2020-12-26,7
E12000002,North West,region,2020-12-25,3
E12000002,North West,region,2020-12-24,3
E12000002,North West,region,2020-12-23,9
E12000002,North West,region,2020-12-22,11
E12000002,North West,region,2020-12-21,7
E12000002,North West,region,2020-12-20,4
E12000002,North West,region,2020-12-19,5
E12000002,North West,region,2020-12-18,6
E12000002,North West,region,2020-12-17,2
E12000002,North West,region,2020-12-16,2
E12000002,North West,region,2020-12-15,6
E12000002,North West,region,2020-12-14,10
E12000002,North West,region,2020-12-13,5
E12000002,North West,region,2020-12-12,1
E12000002,North West,region,2020-12-11,3
E12000002,North West,region,2020-12-10,4
E12000002,North West,region,2020-12-09,3
E12000002,North West,region,2020-12-08,6
E12000002,North West,region,2020-12-07,2
E12000002,North West,region,2020-12-06,1
E12000002,North West,region,2020-12-05,0
E12000002,North West,region,2020-12-04,4
E12000002,North West,region,2020-12-03,5
E12000002,North West,region,2020-12-02,0
E12000002,North West,region,2020-12-01,9
E12000002,North West,region,2020-11-30,2
E12000002,North West,region,2020-11-29,3
E12000002,North West,region,2020-11-28,2
E12000002,North West,region,2020-11-27,4
E12000002,North West,region,2020-11-26,1
E12000002,North West,region,2020-11-25,4
E12000002,North West,region,2020-11-24,4
E12000002,North West,region,2020-11-23,3
E12000002,North West,region,2020-11-22,2
E12000002,North West,region,2020-11-21,1
E12000002,North West,region,2020-11-20,2
E12000002,North West,region,2020-11-19,5
E12000002,North West,region,2020-11-18,6
E12000002,North West,region,2020-11-17,4
E12000002,North West,region,2020-11-16,5
E12000002,North West,region,2020-11-15,2
E12000002,North West,region,2020-11-14,2
E12000002,North West,region,2020-11-13,2
E12000002,North West,region,2020-11-12,4
E12000002,North West,region,2020-11-11,8
E12000002,North West,region,2020-11-10,9
E12000002,North West,region,2020-11-09,6
E12000002,North West,region,2020-11-08,3
E12000002,North West,region,2020-11-07,1
E12000002,North West,region,2020-11-06,5
E12000002,North West,region,2020-11-05,10
E12000002,North West,region,2020-11-04,5
E12000002,North West,region,2020-11-03,12
E12000002,North West,region,2020-11-02,5
E12000002,North West,region,2020-11-01,6
E12000002,North West,region,2020-10-31,4
E12000002,North West,region,2020-10-30,8
E12000002,North West,region,2020-10-29,15
E12000002,North West,region,2020-10-28,9
E12000002,North West,region,2020-10-27,7
E12000002,North West,region,2020-10-26,5
E12000002,North West,region,2020-10-25,3
E12000002,North West,region,2020-10-24,6
E12000002,North West,region,2020-10-23,7
E12000002,North West,region,2020-10-22,8
E12000002,North West,region,2020-10-21,8
E12000002,North West,region,2020-10-20,17
E12000002,North West,region,2020-10-19,10
E12000002,North West,region,2020-10-18,6
E12000002,North West,region,2020-10-17,5
E12000002,North West,region,2020-10-16,7
E12000002,North West,region,2020-10-15,9
E12000002,North West,region,2020-10-14,3
E12000002,North West,region,2020-10-13,8
E12000002,North West,region,2020-10-12,3
E12000002,North West,region,2020-10-11,4
E12000002,North West,region,2020-10-10,4
E12000002,North West,region,2020-10-09,9
E12000002,North West,region,2020-10-08,6
E12000002,North West,region,2020-10-07,7
E12000002,North West,region,2020-10-06,4
E12000002,North West,region,2020-10-05,4
E12000002,North West,region,2020-10-04,2
E12000002,North West,region,2020-10-03,0
E12000002,North West,region,2020-10-02,6
E12000002,North West,region,2020-10-01,4
E12000002,North West,region,2020-09-30,8
E12000002,North West,region,2020-09-29,10
E12000002,North West,region,2020-09-28,2
E12000002,North West,region,2020-09-27,6
E12000002,North West,region,2020-09-26,1
E12000002,North West,region,2020-09-25,4
E12000002,North West,region,2020-09-24,4
E12000002,North West,region,2020-09-23,6
E12000002,North West,region,2020-09-22,6
E12000002,North West,region,2020-09-21,3
E12000002,North West,region,2020-09-20,0
E12000002,North West,region,2020-09-19,0
E12000002,North West,region,2020-09-18,7
E12000002,North West,region,2020-09-17,3
E12000002,North West,region,2020-09-16,4
E12000002,North West,region,2020-09-15,7
E12000002,North West,region,2020-09-14,5
E12000002,North West,region,2020-09-13,0
E12000002,North West,region,2020-09-12,0
E12000002,North West,region,2020-09-11,4
E12000002,North West,region,2020-09-10,4
E12000002,North West,region,2020-09-09,2
E12000002,North West,region,2020-09-08,5
E12000002,North West,region,2020-09-07,17
E12000002,North West,region,2020-09-06,2
E12000002,North West,region,2020-09-05,0
E12000002,North West,region,2020-09-04,7
E12000002,North West,region,2020-09-03,11
E12000002,North West,region,2020-09-02,17
E12000002,North West,region,2020-09-01,3
E12000002,North West,region,2020-08-31,1
E12000002,North West,region,2020-08-30,2
E12000002,North West,region,2020-08-29,0
E12000002,North West,region,2020-08-28,3
E12000002,North West,region,2020-08-27,7
E12000002,North West,region,2020-08-26,3
E12000002,North West,region,2020-08-25,1
E12000002,North West,region,2020-08-24,3
E12000002,North West,region,2020-08-23,3
E12000002,North West,region,2020-08-22,0
E12000002,North West,region,2020-08-21,3
E12000002,North West,region,2020-08-20,4
E12000002,North West,region,2020-08-19,5
E12000002,North West,region,2020-08-18,3
E12000002,North West,region,2020-08-17,0
E12000002,North West,region,2020-08-16,1
E12000002,North West,region,2020-08-15,0
E12000002,North West,region,2020-08-14,3
E12000002,North West,region,2020-08-13,0
E12000002,North West,region,2020-08-12,5
E12000002,North West,region,2020-08-11,11
E12000002,North West,region,2020-08-10,3
E12000002,North West,region,2020-08-09,1
E12000002,North West,region,2020-08-08,1
E12000002,North West,region,2020-08-07,1
E12000002,North West,region,2020-08-06,3
E12000002,North West,region,2020-08-05,1
E12000002,North West,region,2020-08-04,7
E12000002,North West,region,2020-08-03,6
E12000002,North West,region,2020-08-02,0
E12000002,North West,region,2020-08-01,0
E12000002,North West,region,2020-07-31,2
E12000002,North West,region,2020-07-30,4
E12000002,North West,region,2020-07-29,2
E12000002,North West,region,2020-07-28,4
E12000002,North West,region,2020-07-27,2
E12000002,North West,region,2020-07-26,0
E12000002,North West,region,2020-07-25,1
E12000002,North West,region,2020-07-24,0
E12000002,North West,region,2020-07-23,1
E12000002,North West,region,2020-07-22,1
E12000002,North West,region,2020-07-21,1
E12000002,North West,region,2020-07-20,2
E12000002,North West,region,2020-07-19,0
E12000002,North West,region,2020-07-18,0
E12000002,North West,region,2020-07-17,1
E12000002,North West,region,2020-07-16,1
E12000002,North West,region,2020-07-15,0
E12000002,North West,region,2020-07-14,0
E12000002,North West,region,2020-07-13,0
E12000002,North West,region,2020-07-12,0
E12000002,North West,region,2020-07-11,0
E12000002,North West,region,2020-07-10,0
E12000002,North West,region,2020-07-09,2
E12000002,North West,region,2020-07-08,0
